,ID,comp,duration,meanfreq,sd,freq.median,freq.Q25,freq.Q75,freq.IQR,time.median,time.Q25,time.Q75,time.IQR,skew,kurt,sp.ent,time.ent,entropy,sfm,meandom,mindom,maxdom,dfrange,modindx,startdom,enddom,dfslope,meanpeakf
206,f045_m044.wav_1,rap,0.134648526077098,4.32063475520045,5.35315988740807,2.1985145172181,0.980418636056718,4.36731937879811,3.38690074274139,0.070530180326099,0.044882842025699,0.089765684051398,0.044882842025699,5.42108730381591,48.4259879186487,0.873288203298033,0.933103255254207,0.814868065272492,0.37362879383086,0.944927619485294,0.04306640625,4.09130859375,4.0482421875,2.23404255319149,4.09130859375,0.55986328125,-26.2271367937437,0.648369832677165
951,f045_m044.wav_1,rap,0.134648526077098,4.63111070612863,5.16884699208416,2.79270762997974,1.09182984469953,5.7711006076975,4.67927076299797,0.076942014901199,0.044882842025699,0.102589353201598,0.057706511175899,4.18020180398372,27.4219068713984,0.894375232377314,0.936111990525832,0.837235379057731,0.420054370209816,1.20791015625,0.04306640625,4.26357421875,4.2205078125,5.59183673469388,1.42119140625,0.55986328125,-6.39686263262041,0.648369832677165
518,f045_m044.wav_1,rap,0.143061224489796,4.30062818622186,5.82314026587012,1.63636363636364,0.79020979020979,4.83216783216783,4.04195804195804,0.052022263450835,0.032513914656772,0.091038961038961,0.058525046382189,4.88334145994608,33.9623590508208,0.867000757867103,0.933057132696883,0.808961241181504,0.365923322135725,0.691595818014706,0.04306640625,1.85185546875,1.8087890625,4.42857142857143,0.30146484375,0.04306640625,-1.80620876426534,0.648369832677165
766,f045_m044.wav_1,rap,0.143061224489796,3.91910219792226,4.75973994937527,1.95104895104895,1.00699300699301,4.48951048951049,3.48251748251748,0.084536178107607,0.052022263450835,0.110547309833024,0.058525046382189,3.97122277546323,22.5307851740195,0.873488672922121,0.915468591562495,0.799651445145807,0.368649693806116,0.82364501953125,0.04306640625,1.59345703125,1.550390625,5,1.42119140625,0.73212890625,-4.81655670470756,0.648369832677165
269,f045_m044.wav_1,rap,0.159886621315193,3.85976885462118,4.4040052263735,2.48962183679272,1.18225760591413,4.54137048620984,3.35911288029571,0.108722902494331,0.076745578231293,0.134304761904762,0.057559183673469,3.50563205189392,19.9854191263212,0.877831143605711,0.905864221379354,0.795195825404935,0.312722910522708,1.27542818509615,0.04306640625,7.53662109375,7.4935546875,2.35632183908046,0.64599609375,0.04306640625,-3.77098272851369,0.561897914616142
580,f045_m044.wav_1,rap,0.168299319727891,3.92377953624963,5.47247023919503,1.52728254997299,0.968665586169638,3.81523500810373,2.84656942193409,0.103568812140241,0.071203558346416,0.129461015175301,0.058257456828885,6.10299974171081,52.6100389598479,0.845094740740193,0.918468553616343,0.776192944196424,0.300622654736874,1.141259765625,0.38759765625,6.58916015625,6.2015625,1.93055555555556,6.58916015625,0.64599609375,-35.3130605168755,0.648369832677165
828,f045_m044.wav_1,rap,0.168299319727891,4.6383054971789,5.11114613591264,2.79308481901675,1.00432198811453,6.20421393841167,5.19989195029714,0.097095761381476,0.071203558346416,0.122987964416536,0.05178440607012,4.85332016489507,38.0329106254636,0.898320835255166,0.910708499737869,0.818108420158502,0.422166177071598,0.7013671875,0.04306640625,4.00517578125,3.962109375,2.71739130434783,0.38759765625,1.33505859375,5.62961834327001,0.302482160433071
1189,f045_m044.wav_1,rap,0.168299319727891,3.99179599105574,5.26918631550199,1.69962182603998,0.903295515937331,4.59373311723393,3.6904376012966,0.103568812140241,0.071203558346416,0.135934065934066,0.06473050758765,5.78801702043165,50.5297740230944,0.861251762210432,0.918164280435402,0.790770604523664,0.331297768236945,2.75956280048077,0.64599609375,21.66240234375,21.01640625,2.25819672131148,0.73212890625,5.46943359375,28.14809171635,0.734841750738189
332,f045_m044.wav_1,rap,0.185102040816327,3.75717568373973,4.3526614084482,2.39400638663719,1.15647261115205,4.38270695160894,3.22623434045689,0.108508092892329,0.076593947923997,0.134039408866995,0.057445460942998,3.79678705501701,22.3644211914698,0.873907107892482,0.904838233254101,0.790744563533634,0.304448662590011,1.15130859375,0.04306640625,3.31611328125,3.273046875,3.73684210526316,3.31611328125,0.04306640625,-17.6823921582139,0.561897914616142
642,f045_m044.wav_1,rap,0.193537414965986,4.74163382138639,6.11122878030421,1.8656330749354,0.945736434108527,5.35917312661499,4.41343669250646,0.124862848365153,0.087403993855607,0.168564845292956,0.081160851437349,5.19146348165902,36.0534670256021,0.875475447879976,0.912063417350618,0.798489128799973,0.344451094632092,0.771882512019231,0.04306640625,1.42119140625,1.378125,7.25,0.73212890625,0.04306640625,-3.56035808435852,0.648369832677165
